Feature,Importance
Bear_Engulfing,0.03780583
Bull_Engulfing,0.03244193
SP_Strength,0.023984876
Return_5d,0.023944428
Candle_Color,0.022484325
VIX_Deviation,0.02213227
Upper_Shadow,0.021779526
SMA_50,0.021548398
SP_Return_2d,0.021241946
Gap_Lag1,0.020382758
Close_to_High,0.020374827
Return_MA_5,0.019743215
Candle_Size_Percent,0.019564219
Stoch_K,0.01909895
Price_to_SMA20,0.018249573
ATR_14,0.018004453
Lower_Shadow,0.017900568
Gap_Lag2,0.01765953
SP_Change,0.017604878
ROC_5,0.01723218
MACD,0.017157067
Return_10d,0.016923433
Volatility_20d,0.016709099
Volatility_of_Volatility,0.016356817
SMA_20,0.015808044
Return_Max_10,0.01579664
Return_1d,0.015606148
Volume_Change,0.015419619
RSI_14,0.015293447
Volume_MA_Ratio,0.015237557
Candle_Size,0.0152283525
Range_20d,0.01511557
VIX_Lag1,0.015112135
HL_Range,0.01484901
BB_Low,0.014821695
OC_Range,0.01464436
Gap_Lag3,0.014333191
VIX_ROC,0.014324709
ROC_10,0.0142915435
Volatility_5d,0.014286167
VIX_Change,0.014053997
VIX_MA_10,0.013887767
MACD_Diff,0.013864409
Price_to_SMA50,0.013743468
Return_Min_10,0.013709487
BB_High,0.013590625
VIX_MA_20,0.013458112
Consecutive_Ups,0.0133346915
VIX_Lag2,0.012650569
Volatility_10d,0.012599769
ROC_20,0.012253835
Return_MA_10,0.012243952
OBV,0.012084574
Stoch_D,0.012074226
Close_VIX,0.011109505
MACD_Signal,0.010642923
Gap_vs_Avg,0.010293264
SP_Direction,0.009815113
VIX_MA_5,0.009699399
EMA_12,0.008979821
SP_Return_5d,0.0077831484
SP_MA_5,0.0076340106
Hammer,0.0
Doji,0.0
VIX_Spike,0.0
VIX_Direction,0.0
SP_MA_10,0.0
SP_Volatility,0.0
SP_Nifty_Correlation,0.0
